RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty
2020-06-26,DDIF35,BRBMEFDDI6K9,FINANCIAL,,,,,76893.31,,,
2020-06-26,DDIG21,BRBMEFDDI6M5,FINANCIAL,,,,,101785.2,,,
2020-06-26,DDIH21,BRBMEFDDI6N3,FINANCIAL,,,,,101688.25,,,
2020-06-26,DDIJ21,BRBMEFDDI586,FINANCIAL,,,,,101598.4,,,
2020-06-26,DDIJ22,BRBMEFDDI5I5,FINANCIAL,,,,,100431.18,,,
2020-06-26,DDIJ23,BRBMEFDDI5W6,FINANCIAL,,,,,99164.54,,,
2020-06-26,DDIJ24,BRBMEFDDI6D4,FINANCIAL,,,,,97832.73,,,
2020-06-26,DDIJ25,BRBMEFDDI6O1,FINANCIAL,,,,,95964.68,,,
2020-06-26,DDIK21,BRBMEFDDI6P8,FINANCIAL,,,,,101490.5,,,
2020-06-26,DDIM21,BRBMEFDDI6Q6,FINANCIAL,,,,,101407.88,,,
2020-06-26,DDIN20,BRBMEFDDI479,FINANCIAL,-136.44,-136.44,-136.44,-136.44,102416.02,,1,1
2020-06-26,DDIN21,BRBMEFDDI487,FINANCIAL,,,,,101333.09,,,
2020-06-26,DDIN22,BRBMEFDDI5K1,FINANCIAL,,,,,100163.6,,,
2020-06-26,DDIN23,BRBMEFDDI5O3,FINANCIAL,,,,,98939.97,,,
2020-06-26,DDIN24,BRBMEFDDI5N5,FINANCIAL,,,,,97305.5,,,
2020-06-26,DDIN25,BRBMEFDDI628,FINANCIAL,,,,,95576.38,,,
2020-06-26,DDIN26,BRBMEFDDI636,FINANCIAL,,,,,93658.39,,,
2020-06-26,DDIQ20,BRBMEFDDI6F9,FINANCIAL,,,,,102330.99,,,
2020-06-26,DDIU20,BRBMEFDDI6G7,FINANCIAL,,,,,102255.15,,,
2020-06-26,DDIV20,BRBMEFDDI4M0,FINANCIAL,,,,,102183.35,,,
2020-06-26,DDIV21,BRBMEFDDI5C8,FINANCIAL,,,,,101037.32,,,
2020-06-26,DDIV22,BRBMEFDDI5P0,FINANCIAL,,,,,99839.06,,,
2020-06-26,DDIV23,BRBMEFDDI669,FINANCIAL,,,,,98530.66,,,
2020-06-26,DDIV24,BRBMEFDDI6H5,FINANCIAL,,,,,96937.48,,,
2020-06-26,DDIX20,BRBMEFDDI6I3,FINANCIAL,,,,,102086.54,,,
2020-06-26,DDIZ20,BRBMEFDDI6J1,FINANCIAL,,,,,102019.36,,,
2020-06-26,DI1F21,BRBMEFD1I2P5,FINANCIAL,2.045,2.1,2.074,2.065,98938.05,,2933,246525
2020-06-26,DI1F22,BRBMEFD1I1N2,FINANCIAL,2.95,3.08,3.006,2.97,95660.4,,8423,501505
2020-06-26,DI1F23,BRBMEFD1I355,FINANCIAL,4.06,4.24,4.152,4.12,90333.97,,10673,357320
2020-06-26,DI1F24,BRBMEFD1I348,FINANCIAL,5.06,5.24,5.15,5.14,83909.69,,6478,150280
2020-06-26,DI1F25,BRBMEFD1I2Z4,FINANCIAL,5.75,5.94,5.851,5.83,77490.79,,8041,120670
2020-06-26,DI1F26,BRBMEFD1I4F2,FINANCIAL,6.28,6.46,6.376,6.34,71094.8,,123,845
2020-06-26,DI1F27,BRBMEFD1I4Z0,FINANCIAL,6.73,6.92,6.831,6.8,65149.19,,3607,35185
2020-06-26,DI1F28,BRBMEFD1I4Y3,FINANCIAL,7.05,7.23,7.157,7.1,59366.18,,48,240
2020-06-26,DI1F29,BRBMEFD1I4K2,FINANCIAL,7.31,7.5,7.419,7.39,54597.9,,1809,14670
2020-06-26,DI1F30,BRBMEFD1I504,FINANCIAL,7.55,7.55,7.55,7.55,50063.87,,1,5
2020-06-26,DI1F31,BRBMEFD1I686,FINANCIAL,7.68,7.84,7.74,7.74,45811.91,,100,3985
2020-06-26,DI1F33,BRBMEFD1I678,FINANCIAL,,,,,38593.96,,,
2020-06-26,DI1F35,BRBMEFD1I6J9,FINANCIAL,,,,,32563.79,,,
2020-06-26,DI1G21,BRBMEFD1I6K7,FINANCIAL,2.08,2.1,2.089,2.08,98778.07,,5,10535
2020-06-26,DI1H21,BRBMEFD1I6L5,FINANCIAL,2.12,2.135,2.134,2.135,98593.25,,6,1705
2020-06-26,DI1J21,BRBMEFD1I439,FINANCIAL,2.2,2.26,2.222,2.2,98348.32,,1807,76965
2020-06-26,DI1J22,BRBMEFD1I5H5,FINANCIAL,3.26,3.4,3.324,3.29,94472.35,,1171,49390
2020-06-26,DI1J23,BRBMEFD1I5T0,FINANCIAL,4.4,4.51,4.435,4.4,88763.85,,9,110
2020-06-26,DI1J24,BRBMEFD1I6C4,FINANCIAL,5.32,5.35,5.327,5.32,82368.84,,2,20
2020-06-26,DI1J25,BRBMEFD1I6M3,FINANCIAL,5.99,5.99,5.99,5.99,75903.93,,1,5
2020-06-26,DI1K21,BRBMEFD1I6N1,FINANCIAL,2.255,2.28,2.273,2.265,98137.46,,6,185
2020-06-26,DI1M21,BRBMEFD1I6O9,FINANCIAL,2.315,2.35,2.325,2.33,97904.41,,7,1008
